Date,us_max_temp,Avg_Humdity
3/1/20,59.7,69.5
3/2/20,60.9,82.7
3/3/20,64.2,80
3/4/20,61.9,79.6
3/5/20,64.5,83.4
3/6/20,59.1,78.4
3/7/20,59.5,67.3
3/8/20,64.7,64.7
3/9/20,68.5,72.7
3/10/20,66.1,84.7
3/11/20,63.6,87.1
3/12/20,65.7,88.4
3/13/20,63.4,89.8
3/14/20,60,78.7
3/15/20,58.9,80.3
3/16/20,58.5,86.3
3/17/20,61.7,86
3/18/20,62.3,85.9
3/19/20,65,90.9
3/20/20,69.5,88.2
3/21/20,58.3,76.6
3/22/20,57.3,85.4
3/23/20,59.1,89.3
3/24/20,63.9,83
3/25/20,67.6,82
3/26/20,67.8,80.8
3/27/20,66.2,80.9
3/28/20,67.2,86.3
3/29/20,67.4,79.8
3/30/20,63.6,71.7
3/31/20,62.9,83.1
4/1/20,65.3,78
4/2/20,67.9,75.5
4/3/20,69,72.3
4/4/20,66.7,76.3
4/5/20,65.7,77.1
4/6/20,70.3,81
4/7/20,74.8,78
4/8/20,75,83.3
4/9/20,65.7,76.8
4/10/20,62.2,66.4
4/11/20,65.8,74.8
4/12/20,69,85.8
4/13/20,64.8,87.5
4/14/20,61.3,75.8
4/15/20,62,71.3
4/16/20,64.7,64.9
4/17/20,62.2,75.5
4/18/20,64.7,79.7
4/19/20,68.4,73.4
4/20/20,70.1,73.7
4/21/20,69.1,69.9
4/22/20,71.2,71.6
4/23/20,70.6,72.6
4/24/20,74.6,74.1
4/25/20,74.7,73.9
4/26/20,73.5,70
4/27/20,74.8,74.1
4/28/20,79.7,70
4/29/20,75.2,77.4
4/30/20,72.1,79.4
5/1/20,76.7,74.9
5/2/20,82.1,64.6
5/3/20,81.2,65.5
5/4/20,76.3,66
5/5/20,73.8,69.5
5/6/20,76,62.5
5/7/20,78.6,62.4
5/8/20,68.1,68.6
5/9/20,69.1,71.3
5/10/20,72,73.1
5/11/20,67.4,75.1
5/12/20,71.9,71.3
5/13/20,74.3,65.3
5/14/20,77.6,77.9
5/15/20,80.3,79.7
5/16/20,79.1,78
5/17/20,80,78.9
5/18/20,77.9,78.7
5/19/20,76.7,76.4
5/20/20,72.1,70
5/21/20,76.8,72.1
5/22/20,79.8,76.8
5/23/20,80.5,79.1
5/24/20,83.1,75.6
5/25/20,81.3,78.4
5/26/20,84.9,79.2
5/27/20,85.1,73.8
5/28/20,85.2,77.9
5/29/20,83.8,77.3
5/30/20,83,76.6
5/31/20,79.3,70.6
6/1/20,83,69.5
6/2/20,88.7,68.3
6/3/20,90.2,74.2
6/4/20,88.9,79.8
6/5/20,86.6,75.1
6/6/20,86.1,80.5
6/7/20,84.3,69.7
6/8/20,86.7,60.6
6/9/20,89.7,62.5
6/10/20,89.2,65
6/11/20,87.3,70.3
6/12/20,85.9,69.2
6/13/20,81.7,69.4
6/14/20,82,68.2
6/15/20,83.5,69.5
6/16/20,84.7,71.2
6/17/20,85.1,70.4
6/18/20,85.3,69.7
6/19/20,87.9,70.3
6/20/20,89.4,78.4
6/21/20,89,70.6
6/22/20,89.9,76.6
6/23/20,86.1,79.5
6/24/20,87.3,75.6
6/25/20,88.1,71.9
6/26/20,89.7,72.8
6/27/20,88.8,76.1
6/28/20,88,73
6/29/20,89.8,71.2
6/30/20,88.9,71.2
7/1/20,88.6,72.7
7/2/20,91.1,73.1
7/3/20,93.7,75.3
7/4/20,92.3,73.9
7/5/20,94.5,70.7
7/6/20,93.9,68.6
7/7/20,92.5,75.4
7/8/20,92.4,75.4
7/9/20,94.2,75.8
7/10/20,93.1,77.7
7/11/20,93.7,70.5
7/12/20,92.2,68.1
7/13/20,91.2,72.5
7/14/20,91.1,69.1
7/15/20,90.4,75.1
7/16/20,89.2,76.4
7/17/20,91.3,78.3
7/18/20,92.5,79.2
7/19/20,92.9,75.3
7/20/20,92.6,74.1
7/21/20,90.3,73.7
7/22/20,88.4,85.1
7/23/20,86.6,81.5
7/24/20,87.2,86.1
7/25/20,89.5,87.3
7/26/20,92.5,80.6
7/27/20,91.4,77.4
7/28/20,90.2,76.1
7/29/20,92.2,75.7
7/30/20,92.6,71.1
7/31/20,91.8,77
8/1/20,89.4,80.1
8/2/20,87.8,80.9
8/3/20,87.9,81.3
8/4/20,85.5,78.3
8/5/20,86.2,75.5
8/6/20,87.6,74
8/7/20,87.9,73.7
8/8/20,90.9,72.1
8/9/20,92.5,73.2
8/10/20,93.6,74.2
8/11/20,91.6,73.7
8/12/20,92.8,73.7
8/13/20,93.3,71.3
8/14/20,93.4,70.6
8/15/20,93.1,74.6
8/16/20,90.2,79.2
8/17/20,90.9,73
8/18/20,90.7,72.2
8/19/20,88.8,70.2
8/20/20,89.9,70.5
8/21/20,90.5,73.7
8/22/20,91.8,72.3
8/23/20,91.6,73.6
8/24/20,92.9,75.1
8/25/20,92,75
8/26/20,91,78.1
8/27/20,94,78.6
8/28/20,92.4,78.5
8/29/20,89.1,83.2
8/30/20,85.5,82.9
8/31/20,86.3,82.2
9/1/20,85.1,89.4
9/2/20,86.1,88.3
9/3/20,89.2,79.8
9/4/20,88.9,73.2
9/5/20,90.5,68.2
9/6/20,90.2,71.5
9/7/20,87.8,75.3
9/8/20,82.3,86.3
9/9/20,77.6,85.1
9/10/20,77.3,82.5
9/11/20,78.5,78
9/12/20,82.3,82.1
9/13/20,84.2,79.4
9/14/20,82.5,73.2
9/15/20,81.5,74.9
9/16/20,84.3,70.3
9/17/20,82.5,69.9
9/18/20,79.9,68.1
9/19/20,76.9,68.2
9/20/20,78.7,69.6
9/21/20,78,74
9/22/20,80.1,75
9/23/20,82.7,71.7
9/24/20,81.8,73.8
9/25/20,84.2,78.3
9/26/20,84.8,79.8
9/27/20,84.3,78.6
9/28/20,80.1,80.5
9/29/20,77.4,76.6
9/30/20,81.4,69.7
10/1/20,79.5,68.3
10/2/20,75.3,67.9
10/3/20,76,68
10/4/20,75.7,70.1
10/5/20,76.9,72.8
10/6/20,81.3,67.1
10/7/20,83.1,68
10/8/20,79.7,69.1
10/9/20,80.5,72.4
10/10/20,80.3,76.9
10/11/20,78.4,75.1
10/12/20,79.5,77.5
10/13/20,79.3,72
10/14/20,82.5,64.5
10/15/20,78.2,68
10/16/20,72.4,67.1
10/17/20,73.1,71.1
10/18/20,74.2,73
10/19/20,70.2,76.8
10/20/20,73.9,80.2
10/21/20,74.9,80
10/22/20,77.7,80.1
10/23/20,77.3,81.7
10/24/20,67.1,75
10/25/20,64.4,78.7
10/26/20,59.5,88
10/27/20,56.8,82.8
10/28/20,61.6,86
10/29/20,66.6,82
10/30/20,62.8,75.8
10/31/20,67.5,73.5
11/1/20,68.8,73
11/2/20,64,65.9
11/3/20,70.5,65
11/4/20,75.3,67.6
11/5/20,76.5,69.4
11/6/20,75.4,74.2
11/7/20,72.9,72.1
11/8/20,70.9,77.9
11/9/20,72.3,76.9
11/10/20,69.3,83.2
11/11/20,64.4,81.6
11/12/20,66.6,77.7
11/13/20,62.9,80.2