Date,Avg,Max,Min
3/1/20,35.5,44,26
3/2/20,48.2,56,38
3/3/20,52.4,58,48
3/4/20,50.5,57,46
3/5/20,44.8,52,40
3/6/20,41.6,45,37
3/7/20,41,47,37
3/8/20,47.8,60,37
3/9/20,59.3,72,47
3/10/20,61,66,55
3/11/20,50.4,56,44
3/12/20,44.7,48,42
3/13/20,54.6,70,43
3/14/20,48.9,55,45
3/15/20,46.8,53,42
3/16/20,39.3,43,34
3/17/20,47.5,55,41
3/18/20,47.6,53,44
3/19/20,46.2,52,42
3/20/20,56,77,47
3/21/20,48.5,67,42
3/22/20,38.4,43,35
3/23/20,39.2,42,37
3/24/20,44,53,37
3/25/20,42.8,45,41
3/26/20,47,58,39
3/27/20,57.5,67,51
3/28/20,46.4,51,45
3/29/20,45.5,47,45
3/30/20,45.7,49,42
3/31/20,44.1,48,41
4/1/20,45.5,55,39
4/2/20,49.2,58,40
4/3/20,49.6,52,46
4/4/20,50.9,60,46
4/5/20,52.8,62,47
4/6/20,55.8,66,48
4/7/20,57.4,65,54
4/8/20,53.7,62,49
4/9/20,52.8,58,48
4/10/20,44.2,49,40
4/11/20,47.8,55,40
4/12/20,53.4,61,44
4/13/20,58.4,68,53
4/14/20,52.5,59,48
4/15/20,48,52,43
4/16/20,45.6,48,40
4/17/20,43.9,50,39
4/18/20,44.3,47,42
4/19/20,52.7,61,42
4/20/20,52.7,57,50
4/21/20,50.8,58,41
4/22/20,44.3,51,38
4/23/20,45.1,49,42
4/24/20,47,50,43
4/25/20,53.2,63,44
4/26/20,47.6,50,44
4/27/20,45,49,41
4/28/20,52.3,65,44
4/29/20,50,57,46
4/30/20,55.2,62,49
5/1/20,58.1,66,55
5/2/20,63.6,72,53
5/3/20,68.7,80,55
5/4/20,62.5,71,51
5/5/20,54.7,63,47
5/6/20,49.4,52,47
5/7/20,57.8,67,49
5/8/20,48.8,58,44
5/9/20,41.4,48,36
5/10/20,53.7,65,42
5/11/20,53.7,59,47
5/12/20,52,59,45
5/13/20,52.2,63,43
5/14/20,58.6,65,49
5/15/20,73.4,85,59
5/16/20,69.5,76,63
5/17/20,59.5,68,55
5/18/20,59.3,66,55
5/19/20,60.2,68,55
5/20/20,56.5,64,51
5/21/20,55.6,66,48
5/22/20,65.7,76,56
5/23/20,62.1,66,57
5/24/20,59.5,68,52
5/25/20,59.9,66,56
5/26/20,63.3,76,58
5/27/20,65.5,78,60
5/28/20,68,76,63
5/29/20,71.4,81,65
5/30/20,73.7,83,66
5/31/20,64.5,70,59
6/1/20,62.8,72,54
6/2/20,69.5,75,63
6/3/20,72.4,82,63
6/4/20,77.3,88,69
6/5/20,74.2,82,69
6/6/20,78.2,89,70
6/7/20,71.4,77,65
6/8/20,72,80,64
6/9/20,81.2,91,69
6/10/20,75.5,84,69
6/11/20,74,81,70
6/12/20,78.7,86,70
6/13/20,68.7,76,62
6/14/20,65,75,55
6/15/20,67.9,76,62
6/16/20,70.6,79,63
6/17/20,69.7,78,63
6/18/20,69.8,77,66
6/19/20,73.6,85,68
6/20/20,78.8,87,73
6/21/20,79.6,88,74
6/22/20,82.6,93,76
6/23/20,80.8,87,76
6/24/20,81.9,88,76
6/25/20,80.2,88,74
6/26/20,81.1,89,73
6/27/20,79.6,82,76
6/28/20,81.8,91,73
6/29/20,78.5,89,73
6/30/20,73.9,79,70
7/1/20,75.8,83,69
7/2/20,82,94,70
7/3/20,79.8,92,72
7/4/20,75.1,86,70
7/5/20,82.5,95,74
7/6/20,82.3,95,74
7/7/20,76,81,73
7/8/20,81.6,87,78
7/9/20,83.2,90,78
7/10/20,75.8,79,73
7/11/20,80.5,87,75
7/12/20,83.3,92,76
7/13/20,82.9,89,76
7/14/20,80.3,87,74
7/15/20,75.5,82,72
7/16/20,74.4,79,71
7/17/20,77.6,86,71
7/18/20,82.7,94,74
7/19/20,87.7,96,80
7/20/20,89.4,95,84
7/21/20,86,93,79
7/22/20,82.4,94,75
7/23/20,82.6,91,76
7/24/20,77.7,83,75
7/25/20,83,91,74
7/26/20,88.1,95,80
7/27/20,90.2,97,82
7/28/20,88.5,96,84
7/29/20,84.5,90,79
7/30/20,86.8,95,81
7/31/20,76.8,84,72
8/1/20,81.4,89,74
8/2/20,83.7,90,77
8/3/20,83.5,92,74
8/4/20,78.1,82,74
8/5/20,82.8,89,77
8/6/20,77.7,82,74
8/7/20,74.9,79,71
8/8/20,76.6,85,72
8/9/20,81,88,75
8/10/20,85.4,94,79
8/11/20,83.7,88,80
8/12/20,82.6,90,78
8/13/20,77.8,82,76
8/14/20,79.9,88,74
8/15/20,77.5,85,74
8/16/20,70.6,73,69
8/17/20,72.8,82,69
8/18/20,76.3,85,67
8/19/20,72.5,78,70
8/20/20,74.4,83,68
8/21/20,79.1,87,72
8/22/20,83.5,91,77
8/23/20,81.5,86,77
8/24/20,85,93,78
8/25/20,82.8,92,71
8/26/20,74.9,79,70
8/27/20,80.8,94,72
8/28/20,80,89,76
8/29/20,78,83,75
8/30/20,75.3,81,71
8/31/20,72.1,76,67
9/1/20,72.5,80,68
9/2/20,74.8,81,70
9/3/20,78.6,88,75
9/4/20,79.3,87,74
9/5/20,74.6,81,69
9/6/20,76.3,84,70
9/7/20,75.1,80,71
9/8/20,76,84,71
9/9/20,75.7,80,72
9/10/20,77.3,85,75
9/11/20,74.2,78,68
9/12/20,67.3,73,63
9/13/20,71.2,77,64
9/14/20,72.8,77,64
9/15/20,61.4,67,55
9/16/20,67,72,60
9/17/20,71.8,77,67
9/18/20,66.5,72,59
9/19/20,58.3,65,51
9/20/20,58.7,64,52
9/21/20,59.5,65,52
9/22/20,63.7,74,55
9/23/20,71.5,80,62
9/24/20,72.1,77,66
9/25/20,70.5,80,65
9/26/20,71.5,77,67
9/27/20,73.4,78,70
9/28/20,72.9,78,71
9/29/20,72.1,74,69
9/30/20,67.7,73,63
10/1/20,67.8,74,62
10/2/20,62.4,67,58
10/3/20,61.5,68,55
10/4/20,60.7,67,53
10/5/20,62.5,68,56
10/6/20,64.8,70,59
10/7/20,67.6,77,62
10/8/20,60.3,64,57
10/9/20,62.6,70,55
10/10/20,66.9,73,60
10/11/20,65.6,69,61
10/12/20,54.8,59,52
10/13/20,57.8,61,55
10/14/20,62.2,71,55
10/15/20,65.2,73,58
10/16/20,58.4,66,51
10/17/20,54.5,61,49
10/18/20,57.1,64,50
10/19/20,60.5,67,54
10/20/20,64.3,72,60
10/21/20,65.3,71,62
10/22/20,66.9,69,65
10/23/20,65.7,70,64
10/24/20,63.9,70,52
10/25/20,50.7,54,47
10/26/20,56.2,59,53
10/27/20,57.3,60,54
10/28/20,55.4,59,53
10/29/20,51.8,58,47
10/30/20,41.8,47,39
10/31/20,41.8,47,35
11/1/20,51.9,56,45
11/2/20,43.3,46,40
11/3/20,48.7,55,42
11/4/20,53.3,63,42
11/5/20,59.5,70,52
11/6/20,63.3,72,57
11/7/20,66.6,76,57
11/8/20,69.8,79,58
11/9/20,68.4,77,61
11/10/20,66.5,75,59
11/11/20,66.2,70,62
11/12/20,58.7,69,48
11/13/20,49.8,52,48